Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
Amino Acid,HILIC,L-Histidine,Histidine,Histidine,Histidine,100 - >10000,0.759,23,<10 - 1000,0.704,6.9,C6H9N3O2,11.45,156.077302,[M+H],1,cpd:C00135,NA,CHEBI:15971,HILICPos,NA,Aq,4,Mix1,160401,L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C1=C(NC=N1)CC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Histidine_and_derivatives; level 8: Histidine_and_derivatives
Amino Acid,HILIC,L-Isoleucine,Isoleucine,Isoleucine,Isoleucine,1000 - >10000,0.681,14.7,100 - >10000,0.956,9.3,C6H13NO2,8.17,132.102454,[M+H],1,cpd:C00407,NA,CHEBI:17191,HILICPos,NA,Aq,4,Mix1,160401,L-Isoleucine; 2-Amino-3-methylvaleric acid,"(2S,3S)-2-amino-3-methylpentanoic acid",AGPKZVBTJJNPAG-WHFBIAKZSA-N,CCC(C)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Isoleucine_and_derivatives; level 8: Isoleucine_and_derivatives
Amino Acid,HILIC,L-Kynurenine,Kynurenine,Kynurenine,Kynurenine,NA,NA,NA,NA,NA,NA,C10H12N2O3,4.345,209.092618,[M+H],1,cpd:C00328,NA,CHEBI:16946,HILICPos,NA,Aq,NA,NA,160401,L-Kynurenine; 3-Anthraniloyl-L-alanine,(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,YGPSJZOEDVAXAB-QMMMGPOBSA-N,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbonyl_compounds; level 5: Ketones; level 6: Aryl_ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones
Amino Acid,HILIC,L-Leucine,Leucine,Leucine,Leucine,1000 - >10000,0.895,10.3,20 - >10000,0.743,4,C6H13NO2,7.63,132.102454,[M+H],1,cpd:C00123,NA,CHEBI:15603,HILICPos,NA,Aq,4,Mix1,160401,L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine,(2S)-2-amino-4-methylpentanoic acid,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)CC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Leucine_and_derivatives; level 8: Leucine_and_derivatives
Amino Acid,HILIC,L-Lysine,Lysine,Lysine,Lysine,10000 - >10000,0.822,20,<10 - >10000,0.967,13.1,C6H14N2O2,17.5,147.113353,[M+H],1,cpd:C00047,NA,CHEBI:18019,HILICPos,NA,Aq,4,Mix1,160401,"L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid","(2S)-2,6-diaminohexanoic acid",KDXKERNSBIXSRK-YFKPBYRVSA-N,C(CCN)CC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Amino Acid,HILIC,L-Proline,Proline,Proline,Proline,100 - >10000,0.331,5.9,<10 - >10000,0.251,23.2,C5H9NO2,9.49,116.071154,[M+H],1,cpd:C00148,NA,CHEBI:17203,HILICPos,NA,Aq,4,Mix1,160401,L-Proline; 2-Pyrrolidinecarboxylic acid,(2S)-pyrrolidine-2-carboxylic acid,ONIBWKKTOPOVIA-BYPYZUCNSA-N,C1CC(NC1)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives
Amino Acid,HILIC,L-Serine,Serine,Serine,Serine,10000 - >10000,0.748,19.1,500 - 1000,0.899,16.5,C3H7NO3,11.86,106.050419,[M+H],1,cpd:C00065,NA,CHEBI:17115,HILICPos,NA,Aq,4,Mix1,160401,L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine,(2S)-2-amino-3-hydroxypropanoic acid,MTCFGRXMJLQNBG-REOHCLBHSA-N,C(C(C(=O)O)N)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Serine_and_derivatives; level 8: Serine_and_derivatives
Amino Acid,HILIC,L-Threonine,Threonine,Threonine,Threonine,1000 - >10000,0.694,12.9,100 - >10000,0.715,11.2,C4H9NO3,10.92,120.066069,[M+H],1,cpd:C00188,NA,CHEBI:16857,HILICPos,NA,Aq,4,Mix1,160401,L-Threonine; 2-Amino-3-hydroxybutyric acid,"(2S,3R)-2-amino-3-hydroxybutanoic acid",AYFVYJQAPQTCCC-GBXIJSLDSA-N,CC(C(C(=O)O)N)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Amino Acid,HILIC,L-Tyrosine,Tyrosine,Tyrosine,Tyrosine,100 - >10000,0.673,15,<10 - 1000,0.272,17.6,C9H11NO3,9.76,182.081719,[M+H],1,cpd:C00082,NA,CHEBI:17895,HILICPos,NA,Aq,4,Mix1,160401,L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,OUYCCCASQSFEME-QMMMGPOBSA-N,C1=CC(=CC=C1CC(C(=O)O)N)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Tyrosine_and_derivatives; level 8: Tyrosine_and_derivatives
Amino Acid,HILIC,L-Valine,Valine,Valine,Valine,100 - >10000,0.762,7.7,<10 - 1000,0.438,14.9,C5H11NO2,9.09,118.086804,[M+H],1,cpd:C00183,NA,CHEBI:16414,HILICPos,NA,Aq,4,Mix1,160401,L-Valine; 2-Amino-3-methylbutyric acid,(2S)-2-amino-3-methylbutanoic acid,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Valine_and_derivatives; level 8: Valine_and_derivatives
Amino Acid - collagen,HILIC,L-Hydroxylysine,Hydroxylysine,Hydroxylysine,Hydroxylysine,10000 - >10000,0.796,25.4,20 - >10000,0.974,18.8,C6H14N2O3,16.37,163.108268,[M+H],1,cpd:C16741,CHEBI:18040,CHEBI:21994,HILICPos,NA,Aq,4,Mix1,160401,L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine,"(2S,5R)-2,6-diamino-5-hydroxyhexanoic acid",YSMODUONRAFBET-UHNVWZDZSA-N,C(CC(C(=O)O)N)C(CN)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Amino Acid - collagen,HILIC,Hydroxyproline,trans Hydroxyl proline,THP,Hydroxyproline,20 - >10000,0.764,13.5,<10 - >10000,0.726,7,C5H9NO3,10.07,132.066069,[M+H],1,cpd:C01157,NA,CHEBI:18095,HILICPos,NA,Aq,4,Mix1,160401,Hydroxyproline; L-Hydroxyproline; trans-4-Hydroxy-L-proline,"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",PMMYEEVYMWASQN-DMTCNVIQSA-N,C1C(CNC1C(=O)O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives
Amino Acid - degraded,HILIC,4-Aminobutyric acid,Aminobutyric Acid,GABA,GABA,1000 - >10000,0.868,14.2,20 - >10000,0.895,7.6,C4H9NO2,11.155,104.071154,[M+H],1,cpd:C00334,NA,CHEBI:16865,HILICPos,NA,Aq,4,Mix1,160401,4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA,4-aminobutanoic acid,BTCSSZJGUNDROE-UHFFFAOYSA-N,C(CC(=O)O)CN,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Gamma_amino_acids_and_derivatives; level 7: Gamma_amino_acids_and_derivatives; level 8: Gamma_amino_acids_and_derivatives
Amino Acid derivative,HILIC,Glycine betaine,Betaine,Glycine betaine,Glycine betaine,100 - >10000,0.762,7.7,20 - 1000,0.229,1.7,C5H11NO2,7.86,118.086804,[M+H],1,cpd:C00719,NA,CHEBI:17750,HILICPos,NA,Aq,4,Mix1,160401,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate",2-(trimethylazaniumyl)acetate,KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-],kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids
Amino Acid derivative,HILIC,Dimethylglycine,Dimethyl Glycine,DMG,Dimethylglycine,100 - >10000,0.464,11.8,<10 - 1000,0.773,5.2,C4H9NO2,8.97,104.071154,[M+H],1,cpd:C01026,NA,CHEBI:17724,HILICPos,NA,Aq,4,Mix1,160401,"N,N-Dimethylglycine; Dimethylglycine",2-(dimethylamino)acetic acid,FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids
Amino Acid synthesis,HILIC,S-Adenosylhomocysteine,Adenosyl Homocysteine,SAH,SAH,100 - >10000,0.81,18.9,<10 - 1000,0.7,11.9,C14H20N6O5S,10.85,385.129416,[M+H],1,cpd:C00021,NA,CHEBI:16680,HILICPos,NA,Aq,4,Mix1,160401,S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid",ZJUKTBDSGOFHSH-WFMPWKQPSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: 5-deoxyribonucleosides; subclass: 5-deoxy-5-thionucleosides; level 5: 5-deoxy-5-thionucleosides; level 6: 5-deoxy-5-thionucleosides; level 7: 5-deoxy-5-thionucleosides; level 8: 5-deoxy-5-thionucleosides
Amino Acid synthesis,HILIC,S-Adenosylmethionine,Adenosyl Methionine,SAM,SAM,1000 - >10000,0.817,35.3,20 - >10000,1.066,22.8,C15H22N6O5S,13.01,399.145066,[M+H],1,cpd:C00019,NA,CHEBI:15414,HILICPos,NA,Aq,4,Mix1,160401,S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM,"(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate",MEFKEPWMEQBLKI-AIRLBKTGSA-N,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: 5-deoxyribonucleosides; subclass: 5-deoxy-5-thionucleosides; level 5: 5-deoxy-5-thionucleosides; level 6: 5-deoxy-5-thionucleosides; level 7: 5-deoxy-5-thionucleosides; level 8: 5-deoxy-5-thionucleosides
Amino Acid synthesis,HILIC,L-Cystathionine,Cystathionine,Cystathionine,Cystathionine,NA,0.74,18.3,NA,0.829,18.5,C7H14N2O4S,13.14,223.075255,[M+H],1,cpd:C02291,NA,CHEBI:17482,HILICPos,NA,Aq,4,Mix2,160401,L-Cystathionine,(2S)-2-amino-4-[(2R)-2-amino-2-carboxyethyl]sulfanylbutanoic acid,ILRYLPWNYFXEMH-WHFBIAKZSA-N,C(CSCC(C(=O)O)N)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Cysteine_and_derivatives; level 8: L-cysteine-S-conjugates
Amino Acid synthesis,HILIC,L-Homocysteine,L-Homocysteine,Homocysteine,Homocysteine,100 - >10000,0,dl,100 - >10000,0,dl,C4H9NO2S,8.7,136.043226,[M+H],1,cpd:C00155,NA,CHEBI:17588,HILICPos,NA,Aq,4,Mix2,160401,L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine,(2S)-2-amino-4-sulfanylbutanoic acid,FFFHZYDWPBMWHY-VKHMYHEASA-N,C(CS)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Amino Acid synthesis,HILIC,Shikimic acid,Shikimic Acid,Shikimic acid,Shikimic acid,<10 - 1000,dl,dl,100 - 1000,0.938,13.8,C7H10O5,10.97,173.045,[M-H],-1,cpd:C00493,NA,CHEBI:16119,HILICNeg,NA,Aq,5,Mix1,160401,"Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid","(3R,4S,5R)-3,4,5-trihydroxycyclohexene-1-carboxylic acid",JXOHGGNKMLTUBP-HSUXUTPPSA-N,C1C(C(C(C=C1C(=O)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Alcohols_and_polyols; level 5: Cyclic_alcohols_and_derivatives; level 6: Cyclitols_and_derivatives; level 7: Shikimic_acids_and_derivatves; level 8: Shikimic_acids_and_derivatves
Amino sugar,HILIC,Chitobiose,Chitobiose,Chitobiose,Chitobiose,100 - >10000,0.434,25.7,<10 - >10000,0.299,20.1,C16H28N2O11,10.21,425.177138,[M+H],1,cpd:C01674,NA,CHEBI:28681,HILICPos,NA,Aq,4,Mix2,160401,"Chitobiose; Diacetylchitobiose; N,N'-Diacetylchitobiose","N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4R,5R)-5-acetamido-1,2,4-trihydroxy-6-oxohexan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",PLJAKLUDUPBLGD-VLWZLFBZSA-N,CC(=O)NC1C(C(C(OC1OC(C(CO)O)C(C(C=O)NC(=O)C)O)CO)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: N-acyl-alpha-hexosamines; level 7: N-acyl-alpha-hexosamines; level 8: N-acyl-alpha-hexosamines
Antioxidant,HILIC,Salicylic acid,Salicylic Acid,Salicylic acid,Salicylic acid,<10 - >10000,0.945,12.3,<10 - >10000,1.047,4.1,C7H6O3,2.2,137.02387,[M-H],-1,cpd:C00805,CHEBI:16914,CHEBI:30762,HILICNeg,NA,Aq,4,Mix1,160401,Salicylate; o-Hydroxybenzoic acid; Salicylic acid,2-hydroxybenzoic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(=O)O)O,kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Benzoic_acids_and_derivatives; level 5: Hydroxybenzoic_acid_derivatives; level 6: Salicylic_acid_and_derivatives; level 7: Salicylic_acids; level 8: Salicylic_acids
Antioxidant,HILIC,Glutathione,Glutathione,Glutathione,Glutathione,100 - >10000,0.112,23.3,20 - >10000,0.143,19.1,C10H17N3O6S,12,308.091634,[M+H],1,cpd:C00051,NA,CHEBI:16856,HILICPos,NA,Aq,4,Mix1,160401,Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,RWSXRVCMGQZWBV-WDSKDSINSA-N,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Peptides; level 7: Peptides; level 8: Peptides
